level,M,N,seed,densityMetric
all,5,5,1699313214,0.5622
all,5,5,1699766516,0.3812
all,5,5,1704252180,0.7277
all,5,5,1709669803,0.5561
all,5,5,1709958121,0.3268
all,5,5,1710899660,0.2956
all,5,5,172039583,0.3073
all,5,5,1721724835,0.4000
all,5,5,1733076773,0.3416
all,5,5,1737727812,0.7327
all,5,5,1740758088,0.5099
all,5,5,1740774453,0.3960
all,5,5,1746261859,0.1881
all,5,5,175372090,0.5644
all,5,5,1758723514,0.4828
all,5,5,1760862656,0.4802
all,5,5,1768763517,0.4000
all,5,5,1768773175,0.2611
all,5,5,1769574694,0.2562
all,5,5,1781529180,0.2683
all,5,5,1785207726,0.2660
all,5,5,178698099,0.3659
all,5,5,1788834690,0.8571
all,5,5,1796240466,0.2878
all,5,5,1796962306,0.2414
all,5,5,1800031487,0.2079
all,5,5,1804090075,0.1921
all,5,5,1808468222,0.5317
all,5,5,1809051113,0.4439
all,5,5,1809661895,0.6453
all,5,5,181580405,0.7723
all,5,5,1816338954,0.4257
all,5,5,1822759985,0.6119
all,5,5,1824727494,0.4975
all,5,5,182938029,0.2500
all,5,5,1831812132,0.4488
all,5,5,1840015150,0.9951
all,5,5,1841751817,0.2000
all,5,5,1854323263,0.3793
all,5,5,1860717679,0.1832
all,5,5,1866602874,0.9059
all,5,5,1868610362,0.2079
all,5,5,1870003796,0.2585
all,5,5,187832543,0.4293
all,5,5,1879172777,0.7143
all,5,5,1883505171,0.3069
all,5,5,1888341217,0.4927
all,5,5,1903246645,0.4335
all,5,5,1905994005,0.2780
all,5,5,1907627564,0.3465
all,5,5,1911962880,0.1854
all,5,5,1915009477,0.7228
all,5,5,1917315231,0.2871
all,5,5,1925047881,0.2759
all,5,5,1928955355,0.2537
all,5,5,1929916884,0.4039
all,5,5,1936984899,0.4356
all,5,5,1937202256,0.3610
all,5,5,1938353389,0.4927
all,5,5,1945790471,0.8571
all,5,5,1947790397,0.4680
all,5,5,1950540443,0.1951
all,5,5,1951414644,0.8966
all,5,5,195236159,0.4505
all,5,5,1956431262,0.5171
all,5,5,1956766590,0.4406
all,5,5,1957134805,0.2439
all,5,5,1959524799,0.3805
all,5,5,1967387285,0.2000
all,5,5,1979801289,0.3793
all,5,5,1983292201,0.2090
all,5,5,1993326793,0.2488
all,5,5,1994977712,0.2244
all,5,5,1996083273,0.2020
all,5,5,1996702599,0.8218
all,5,5,1998223953,0.5842
all,5,5,2002611187,0.9463
all,5,5,2011395246,0.5224
all,5,5,201176239,0.3659
all,5,5,2021577963,0.1493
all,5,5,2024286403,0.5610
all,5,5,2024513409,0.5743
all,5,5,202749974,0.1415
all,5,5,2030896810,0.2049
all,5,5,2038681372,0.3168
all,5,5,2044988326,0.1872
all,5,5,2046943629,0.4778
all,5,5,2047577675,0.2376
all,5,5,2050569157,0.4780
all,5,5,2052971041,0.1805
all,5,5,2053479749,0.5707
all,5,5,2055331893,0.1415
all,5,5,2056546462,0.4732
all,5,5,2057080676,0.5415
all,5,5,2061482734,0.2808
all,5,5,2062155976,0.3366
all,5,5,2071631945,0.6878
all,5,5,2073299697,0.2683
all,5,5,2078917334,0.5297
all,5,5,2079752499,0.2537
all,5,5,2079858789,0.2030
all,5,5,2085699652,0.3300
all,5,5,2089510606,1.0545
all,5,5,2091476912,0.8966
all,5,5,2091722806,0.1576
all,5,5,20970381,0.4384
all,5,5,2107567065,0.3171
all,5,5,2110451822,0.4341
all,5,5,2110643271,0.2129
all,5,5,2111090406,0.4680
all,5,5,2117174394,0.4433
all,5,5,2117593454,0.2488
all,5,5,2124299567,0.8317
all,5,5,2125589944,0.3941
all,5,5,2132902721,0.3596
all,5,5,2134912272,0.6404
all,5,5,2134998548,0.3069
all,5,5,2140214484,0.2906
all,5,5,2140678879,0.4049
all,5,5,218077158,0.4109
all,5,5,220433454,0.2000
all,5,5,224915151,0.5561
all,5,5,22652117,0.8916
all,5,5,229402254,0.1415
all,5,5,22983420,0.4059
all,5,5,239374803,0.3122
