level,M,N,seed,linearityRSquared
all,5,5,1870003796,0.0003
all,5,5,187832543,0.1117
all,5,5,1879172777,0.0303
all,5,5,1883505171,0.0056
all,5,5,1888341217,0.0294
all,5,5,1903246645,0.0145
all,5,5,1905994005,0.1297
all,5,5,1907627564,0.0256
all,5,5,1911962880,0.0001
all,5,5,1915009477,0.0002
all,5,5,1917315231,0.0017
all,5,5,1925047881,0.0093
all,5,5,1928955355,0.5194
all,5,5,1929916884,0.0006
all,5,5,1936984899,0.0370
all,5,5,1937202256,0.0180
all,5,5,1938353389,0.0005
all,5,5,1945790471,0.0185
all,5,5,1947790397,0.1055
all,5,5,1950540443,0.0910
all,5,5,1951414644,0.0003
all,5,5,195236159,0.0864
all,5,5,1956431262,0.0023
all,5,5,1956766590,0.0888
all,5,5,1957134805,0.0927
all,5,5,1959524799,0.1118
all,5,5,1967387285,0.1210
all,5,5,1979801289,0.0026
all,5,5,1983292201,0.0862
all,5,5,1993326793,0.0707
all,5,5,1994977712,0.3594
all,5,5,1996083273,0.0808
all,5,5,1996702599,0.0618
all,5,5,1998223953,0.0024
all,5,5,2002611187,0.0075
all,5,5,2011395246,0.1342
all,5,5,201176239,0.0903
all,5,5,2021577963,0.1142
all,5,5,2024286403,0.1054
all,5,5,2024513409,0.0019
all,5,5,202749974,0.0003
all,5,5,2030896810,0.0044
all,5,5,2038681372,0.1300
all,5,5,2044988326,0.1168
all,5,5,2046943629,0.1021
all,5,5,2047577675,0.0651
all,5,5,2050569157,0.2248
all,5,5,2052971041,0.1390
all,5,5,2053479749,0.1291
all,5,5,2055331893,0.0002
all,5,5,2056546462,0.2817
all,5,5,2057080676,0.0032
all,5,5,2061482734,0.1089
all,5,5,2062155976,0.3267
all,5,5,2071631945,0.0297
all,5,5,2073299697,0.4838
all,5,5,2078917334,0.0094
all,5,5,2079752499,0.1212
all,5,5,2079858789,0.1151
all,5,5,2085699652,0.2645
all,5,5,2089510606,0.0508
all,5,5,2091476912,0.0036
all,5,5,2091722806,0.1158
all,5,5,20970381,0.0170
all,5,5,2107567065,0.0036
all,5,5,2110451822,0.0067
all,5,5,2110643271,0.0024
all,5,5,2111090406,0.0113
all,5,5,2117174394,0.1866
all,5,5,2117593454,0.0025
all,5,5,2124299567,0.0497
all,5,5,2125589944,0.0041
all,5,5,2132902721,0.0112
all,5,5,2134912272,0.0067
all,5,5,2134998548,0.3262
all,5,5,2140214484,0.3987
all,5,5,2140678879,0.0063
all,5,5,218077158,0.0002
all,5,5,220433454,0.5171
all,5,5,224915151,0.1339
all,5,5,22652117,0.0247
all,5,5,229402254,0.0003
all,5,5,22983420,0.1347
all,5,5,239374803,0.0480
all,5,5,242696483,0.0007
all,5,5,248347154,0.0141
all,5,5,249164720,0.0000
all,5,5,250001749,0.3146
all,5,5,250875566,0.1779
all,5,5,25765741,0.0273
all,5,5,263366951,0.2571
all,5,5,263738689,0.0010
all,5,5,264604773,0.0051
all,5,5,266013641,0.0070
all,5,5,274088549,0.0554
all,5,5,282803583,0.2851
all,5,5,284044465,0.1248
all,5,5,284095836,0.0726
all,5,5,284305703,0.0004
all,5,5,286545197,0.0472
all,5,5,288220185,0.0037
all,5,5,290028573,0.0002
all,5,5,30466209,0.2755
all,5,5,307406376,0.0151
all,5,5,310740590,0.0259
all,5,5,310785126,0.1248
all,5,5,314136519,0.0002
all,5,5,314772335,0.0597
all,5,5,317186902,0.0189
all,5,5,318648618,0.0170
all,5,5,3190698,0.1936
all,5,5,320565364,0.1409
all,5,5,32832090,0.0023
all,5,5,33749446,0.0070
all,5,5,338184062,0.0428
all,5,5,338254202,0.1021
all,5,5,338355266,0.0102
all,5,5,34574605,0.0442
all,5,5,345905230,0.0053
all,5,5,349115556,0.0815
all,5,5,352131326,0.1657
all,5,5,353239593,0.0937
all,5,5,374285752,0.1186
all,5,5,378926222,0.1868
all,5,5,389637486,0.1005
all,5,5,390449205,0.0465
all,5,5,394069222,0.0013
all,5,5,397094406,0.0470
all,5,5,398138962,0.0066
all,5,5,40200334,0.0308
all,5,5,402917232,0.0107
all,5,5,403964344,0.1125
all,5,5,404055628,0.0299
all,5,5,404339833,0.0137
all,5,5,406366678,0.5271
all,5,5,410802099,0.0668
all,5,5,411540598,0.1707
