level,M,N,seed,completionPct,compressionDistance,editDistance,densityMetric,leniencyMetric,linearityRSquared
1,1,1,1380206301,0.07,0.863036,590,0.091560,0.736057,0.0005
1,1,1,138257890,0.49,0.831744,580,0.111123,0.712953,0.0236
1,1,1,1387100808,0.13,0.868370,593,0.112921,0.747275,0.0025
1,1,1,1390070123,0.22,0.852778,602,0.137843,0.732983,0.0008
1,1,1,139090846,0.33,0.841700,601,0.082641,0.708364,0.0062
1,1,1,1394878018,0.08,0.875239,592,0.123602,0.728928,0.0000
1,1,1,1397766369,0.13,0.847034,592,0.111123,0.747967,0.0021
1,1,1,1402202751,0.21,0.857702,595,0.096882,0.702586,0.0200
1,1,1,1402600680,0.35,0.847034,576,0.112921,0.738543,0.0418
1,1,1,140593133,0.11,0.863036,589,0.127162,0.734041,0.0192
1,1,1,1409932949,0.30,0.868370,584,0.114683,0.733340,0.0016
1,1,1,1409946047,0.39,0.839173,604,0.125364,0.700224,0.0012
1,1,1,1410120414,0.19,0.865494,600,0.116481,0.695488,0.0016
1,1,1,1411552849,0.12,0.816737,602,0.107563,0.729890,0.0144
1,1,1,1411736710,0.23,0.847034,580,0.093322,0.753664,0.0036
1,1,1,1411740561,0.16,0.847034,592,0.114683,0.749659,0.0000
1,1,1,1412314167,0.13,0.841700,598,0.093322,0.711889,0.0116
1,1,1,1414909128,0.20,0.837737,595,0.096882,0.700535,0.0017
1,1,1,1415923339,0.28,0.857702,596,0.116481,0.729567,0.0016
1,1,1,1415951383,0.13,0.841700,588,0.089762,0.753273,0.0373
1,1,1,1417221407,0.19,0.873704,583,0.130722,0.728994,0.0077
1,1,1,1417484602,0.34,0.847034,582,0.136045,0.734090,0.0000
1,1,1,1420211928,0.12,0.836366,583,0.093322,0.743734,0.0006
1,1,1,1420950107,0.07,0.851387,593,0.112921,0.714716,0.0048
1,1,1,1423060993,0.13,0.857702,576,0.086201,0.719967,0.0130
1,1,1,1423469236,0.13,0.852368,572,0.105801,0.762377,0.0001
1,1,1,1423682194,0.15,0.807660,568,0.114683,0.754488,0.0015
1,1,1,1424869980,0.07,0.825698,578,0.112921,0.716795,0.0166
1,1,1,142497295,0.15,0.847034,589,0.104003,0.711877,0.0143
1,1,1,1426784040,0.94,0.867943,588,0.137843,0.731150,0.0010
1,1,1,1428144759,0.23,0.820364,588,0.116481,0.746492,0.0005
1,1,1,1428447742,0.47,0.843021,587,0.123602,0.737518,0.0666
1,1,1,1429342757,0.13,0.825698,580,0.107563,0.764007,0.0047
1,1,1,1429367741,0.37,0.847034,582,0.116481,0.765623,0.0023
1,1,1,1430247905,0.20,0.852368,581,0.121804,0.733114,0.0010
1,1,1,1431277483,0.51,0.857702,579,0.100442,0.763159,0.0189
1,1,1,1434039671,0.17,0.855385,605,0.116481,0.704327,0.0000
1,1,1,1438620056,0.29,0.857702,588,0.100442,0.721176,0.0098
1,1,1,1440176088,0.17,0.831032,573,0.089762,0.776567,0.0073
1,1,1,1441298207,0.11,0.831032,579,0.098680,0.746946,0.0025
1,1,1,1442116807,0.11,0.847034,577,0.109361,0.740100,0.0235
1,1,1,1444118058,0.11,0.847034,579,0.118244,0.766354,0.0169
1,1,1,144553863,0.21,0.831744,590,0.109361,0.747680,0.0251
1,1,1,1447091856,0.20,0.855476,595,0.134283,0.723148,0.0080
1,1,1,1453438136,0.09,0.865812,586,0.127162,0.744928,0.0359
1,1,1,1453464562,0.24,0.879037,597,0.100442,0.733738,0.0357
1,1,1,1457672976,0.19,0.836366,585,0.123602,0.733908,0.0208
1,1,1,1458317563,0.22,0.836366,604,0.105801,0.708244,0.0042
1,1,1,1459827370,0.09,0.879037,591,0.082641,0.736060,0.0022
1,1,1,1460399984,0.93,0.850172,591,0.127162,0.697320,0.0025
1,1,1,1460988487,0.07,0.825698,576,0.111123,0.757668,0.0057
1,1,1,1461249056,0.19,0.831032,591,0.111123,0.718761,0.0003
1,1,1,1472519785,0.24,0.863036,591,0.111123,0.695359,0.0004
1,1,1,1475822054,0.14,0.852581,598,0.125364,0.742901,0.0003
1,1,1,1480296753,0.15,0.851387,587,0.127162,0.735508,0.0002
1,1,1,1483337579,0.32,0.841700,590,0.114683,0.734842,0.0112
1,1,1,1486134430,0.77,0.835015,595,0.127162,0.713853,0.0010
1,1,1,1486300823,0.38,0.857702,586,0.096882,0.707486,0.0068
1,1,1,1491601708,0.31,0.868370,585,0.111123,0.747763,0.0017
1,1,1,1491837140,0.24,0.852368,586,0.120042,0.727658,0.0042
1,1,1,149402193,0.28,0.837055,588,0.116481,0.729785,0.0072
1,1,1,1497341512,0.09,0.826479,588,0.148524,0.692103,0.0002
1,1,1,1497824864,0.37,0.837219,586,0.121804,0.704300,0.0046
1,1,1,1499439034,0.31,0.852368,575,0.118244,0.728704,0.0379
1,1,1,150003645,0.15,0.804888,587,0.134283,0.716982,0.0000
1,1,1,1504225597,0.11,0.825698,589,0.109361,0.710439,0.0056
1,1,1,1504822265,0.08,0.863036,591,0.107563,0.743172,0.0166
1,1,1,150604100,0.42,0.863601,587,0.130722,0.735834,0.0080
1,1,1,1506941806,0.35,0.857702,580,0.096882,0.773160,0.0005
1,1,1,1507258094,0.07,0.863036,583,0.123602,0.741082,0.0557
