level,M,N,seed,leniencyMetric
all,2,2,1066273454,-57.2143
all,2,2,10723707,-56.6471
all,2,2,1073757365,-45.2222
all,2,2,1083418150,-50.4063
all,2,2,1084328907,-44.7564
all,2,2,1088842824,-62.7174
all,2,2,1093178828,-44.4722
all,2,2,1093916698,-46.5571
all,2,2,1115963802,-52.3710
all,2,2,1120017672,-51.6111
all,2,2,1126156478,-42.9063
all,2,2,1128070351,-51.6944
all,2,2,1132795024,-49.2143
all,2,2,1133711120,-44.9000
all,2,2,113807004,-50.3158
all,2,2,1140437640,-51.4722
all,2,2,114450673,-53.4730
all,2,2,114547171,-55.3108
all,2,2,1154460180,-51.0758
all,2,2,115767502,-59.7800
all,2,2,1158860778,-56.5426
all,2,2,1159335042,-52.5714
all,2,2,1160460884,-47.5000
all,2,2,1173992572,-52.0000
all,2,2,1174539276,-62.3974
all,2,2,1186026598,-54.5000
all,2,2,1187156785,-52.5571
all,2,2,1192201,-46.9444
all,2,2,1192513163,-53.9722
all,2,2,1197043983,-57.8404
all,2,2,1200485168,-52.8556
all,2,2,1207523846,-54.9828
all,2,2,1214014878,-49.4655
all,2,2,1215609700,-49.9286
all,2,2,1220371580,-51.3750
all,2,2,1220532283,-44.0938
all,2,2,1221417850,-61.2000
all,2,2,1223133942,-46.3205
all,2,2,1223610368,-53.3889
all,2,2,1236955281,-58.3214
all,2,2,1239042658,-55.6176
all,2,2,1239944688,-48.5000
all,2,2,1244730043,-47.3462
all,2,2,1245567209,-49.5513
all,2,2,1251327432,-47.1538
all,2,2,1251359113,-49.8143
all,2,2,1252016966,-53.7500
all,2,2,1252380417,-54.2105
all,2,2,1254579297,-51.5435
all,2,2,1259435401,-51.7222
all,2,2,126743168,-49.2561
all,2,2,1268024334,-46.0806
all,2,2,1269798208,-49.9545
all,2,2,1283165443,-54.4778
all,2,2,1285800652,-57.0313
all,2,2,1310069330,-57.3049
all,2,2,1310938849,-55.1571
all,2,2,1311109679,-45.7727
all,2,2,1312253936,-48.7059
all,2,2,1317361422,-46.1579
all,2,2,1324942098,-49.9595
all,2,2,1325603311,-58.0897
all,2,2,132858796,-41.8611
all,2,2,1336914056,-57.8529
all,2,2,1346480913,-56.7619
all,2,2,1353349777,-55.4111
all,2,2,1358613540,-45.2500
