level,M,N,seed,Leniency
13modified,5,5,101218400,-22.0000
13modified,5,5,1021300743,-23.7500
13modified,5,5,10232304,-18.6000
13modified,5,5,102545709,-22.0000
13modified,5,5,1030535160,-22.0000
13modified,5,5,103112510,-27.1000
13modified,5,5,1032167107,-37.1000
13modified,5,5,1034018198,-22.0000
13modified,5,5,103726944,-22.0000
13modified,5,5,1041175705,-28.3500
13modified,5,5,1049451443,-22.0000
13modified,5,5,1054439987,-26.4474
13modified,5,5,1054892311,-23.6000
13modified,5,5,105739707,-24.0789
13modified,5,5,1057612619,-22.0000
13modified,5,5,1058562116,-22.0000
13modified,5,5,1062679971,-20.0556
13modified,5,5,1068285091,-34.6000
13modified,5,5,1068932403,-22.0000
13modified,5,5,1072851399,-17.5000
13modified,5,5,1079498953,-31.3571
13modified,5,5,1080277626,-22.0000
13modified,5,5,1081484380,-22.0000
13modified,5,5,1081800190,-22.3889
13modified,5,5,1097524369,-22.0000
13modified,5,5,1100030771,-22.0000
13modified,5,5,110132612,-22.0000
13modified,5,5,1101674731,-20.0556
13modified,5,5,1105060188,-22.0000
13modified,5,5,1105736783,-32.1000
13modified,5,5,1108522060,-22.0000
13modified,5,5,1110213566,-21.2273
13modified,5,5,1110825063,-22.0000
13modified,5,5,1111618686,-22.0000
13modified,5,5,1114337292,-20.0556
13modified,5,5,111809327,-22.0000
13modified,5,5,1119181075,-22.9444
13modified,5,5,1134884498,-20.0556
13modified,5,5,1141845560,-33.3500
13modified,5,5,1143804440,-22.0000
13modified,5,5,1149896562,-18.6000
13modified,5,5,115899777,-20.0556
13modified,5,5,1159375697,-26.1667
13modified,5,5,116905027,-34.7381
13modified,5,5,11696491,-22.0000
13modified,5,5,1172573885,-20.0556
13modified,5,5,1177720899,-20.0556
13modified,5,5,1180294418,-22.0000
13modified,5,5,1192318383,-18.6000
13modified,5,5,119262090,-22.0000
13modified,5,5,119334869,-20.0556
13modified,5,5,119774415,-20.0556
13modified,5,5,1199629090,-22.0000
13modified,5,5,1211861127,-20.0556
